encoding,lstm_ae,snn_dense,snn_conv1d,snn_recurrent
direct,0.995452,0.000000,0.721913,0.000000
poisson,0.113955,0.000000,0.064609,0.000000
latency,0.245525,0.000000,0.084172,0.000000
