model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,85238400.000000,120225.000000,8523840.000000
LSTM-AE,latency,0.000000,85238400.000000,120225.000000,8523840.000000
LSTM-AE,poisson,0.000000,85238400.000000,120225.000000,8523840.000000
SNN-recurrent,direct,0.876664,375372.777778,37286.000000,36864.000000
SNN-recurrent,latency,0.876881,375374.444444,37286.000000,36864.000000
SNN-recurrent,poisson,0.970573,376094.000000,37286.000000,36864.000000
