alpha mse_dense mse_conv1d mse_recurrent energy_dense energy_conv1d energy_recurrent
0.8000 1.0664 0.0000 0.0000 372445.3333 0.0000 0.0000
0.9000 1.0806 0.0000 0.0000 372537.6667 0.0000 0.0000
0.9900 1.1636 0.0000 0.0000 372473.3333 0.0000 0.0000
