encoding,lstm_ae,snn_dense,snn_conv1d,snn_recurrent
direct,0.948429,0.990592,0.000000,0.000000
poisson,0.111836,0.123203,0.000000,0.000000
latency,0.101859,0.113029,0.000000,0.000000
