model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.387375,0.379894,0.218927,0.000000,11842560.000000,193.031650,69857.361979,122472.000000,1184256.000000
SNN-recurrent,0.112091,0.223197,0.149853,0.908039,375613.740741,102.670856,12662.002631,37286.000000,36864.000000
