model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.996841,0.705411,0.003158,0.000000
LSTM-AE,latency,0.241491,0.486262,0.021277,0.000000
LSTM-AE,poisson,0.118532,0.272806,-0.040759,0.000000
SNN-recurrent,direct,0.127553,0.178635,-0.087586,0.000000
SNN-recurrent,latency,0.159398,0.285852,0.250685,0.000000
SNN-recurrent,poisson,0.115630,0.160489,-0.083611,0.000000
