model,mse,mae,r2,spike_rate,energy,infer_ms,train_ms,param_count,macs
LSTM-AE,0.452288,0.488160,-0.005441,0.000000,85238400.000000,1200.249227,302340.329861,120225.000000,8523840.000000
SNN-conv1d,0.326058,0.339600,0.094357,0.787934,374691.333333,2.034725,2044.718843,37286.000000,36864.000000
