model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.995033,0.704819,0.004971,0.000000
LSTM-AE,latency,0.265463,0.488282,-0.075888,0.000000
LSTM-AE,poisson,0.116838,0.259027,-0.025914,0.000000
