model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,85238400.000000,120225.000000,8523840.000000
LSTM-AE,latency,0.000000,85238400.000000,120225.000000,8523840.000000
LSTM-AE,poisson,0.000000,85238400.000000,120225.000000,8523840.000000
SNN-conv1d,direct,0.488662,372392.925926,37286.000000,36864.000000
SNN-conv1d,latency,0.881481,375409.777778,37286.000000,36864.000000
SNN-conv1d,poisson,0.993658,376271.296296,37286.000000,36864.000000
