model,infer_ms,train_ms,infer_speedup
LSTM-AE,195.17654755555554,69774.57465266666,1.0
SNN-conv1d,3.1058704567901234,3755.2746755185185,62.841174566330096
SNN-dense,3.9907177283950617,3985.544136691358,48.907630366041765
SNN-recurrent,102.6708563580247,12662.002631333333,1.9009926913919293
