model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.995452,0.704841,0.004549,0.000000
LSTM-AE,latency,0.245525,0.488018,0.004944,0.000000
LSTM-AE,poisson,0.113955,0.230645,-0.000545,0.000000
SNN-conv1d,direct,0.721913,0.626763,-0.000100,0.666667
SNN-conv1d,latency,0.084172,0.203391,0.614288,0.380247
SNN-conv1d,poisson,0.064609,0.183593,-0.045306,0.475309
