feature_set,classifier,text_mode,fold,accuracy,f1,precision,recall,specificity,eer,auc,model_path
handcrafted-lfcc,dsnn,dependent,0,nan,nan,nan,nan,nan,0.600000,0.652344,results/smoke/models/smoke_e05_p01_dsnn_eeg_dep_flat_raw/handcrafted-lfcc/fold_0.bin
handcrafted-lfcc,dsnn,dependent,1,nan,nan,nan,nan,nan,0.200000,0.875000,results/smoke/models/smoke_e05_p01_dsnn_eeg_dep_flat_raw/handcrafted-lfcc/fold_1.bin
