feature_set,classifier,text_mode,fold,accuracy,f1,precision,recall,specificity,eer,auc,model_path
handcrafted-lfcc,dsnn,dependent,0,nan,nan,nan,nan,nan,0.552632,0.627424,results/smoke/models/smoke_e05_p01_dsnn_voice_dep_flat_std/handcrafted-lfcc/fold_0.bin
handcrafted-lfcc,dsnn,dependent,1,nan,nan,nan,nan,nan,nan,nan,results/smoke/models/smoke_e05_p01_dsnn_voice_dep_flat_std/handcrafted-lfcc/fold_1.bin
