feature_set,classifier,text_mode,fold,accuracy,f1,precision,recall,specificity,eer,auc,model_path
handcrafted-lfcc,dsnn,independent,0,nan,nan,nan,nan,nan,0.562500,0.598772,results/smoke/models/smoke_e05_p01_dsnn_eeg_indep_nested_std/handcrafted-lfcc/fold_0.bin
handcrafted-lfcc,dsnn,independent,1,nan,nan,nan,nan,nan,0.600000,0.716800,results/smoke/models/smoke_e05_p01_dsnn_eeg_indep_nested_std/handcrafted-lfcc/fold_1.bin
