feature_set,classifier,text_mode,fold,accuracy,f1,precision,recall,specificity,eer,auc,model_path
handcrafted-lfcc-fused-late,dsnn,independent,0,nan,nan,nan,nan,nan,0.518750,0.571289,results/smoke/models/smoke_e05_p01_dsnn_fused_late_indep_flat_raw/handcrafted-lfcc-fused-late/fold_0.bin
handcrafted-lfcc-fused-late,dsnn,independent,1,nan,nan,nan,nan,nan,0.754146,0.751600,results/smoke/models/smoke_e05_p01_dsnn_fused_late_indep_flat_raw/handcrafted-lfcc-fused-late/fold_1.bin
