feature_set,classifier,text_mode,fold,accuracy,f1,precision,recall,specificity,eer,auc,model_path
handcrafted-lfcc,dsnn,independent,0,nan,nan,nan,nan,nan,0.486676,0.526716,results/smoke/models/smoke_e05_p01_dsnn_eeg_indep_flat_raw/handcrafted-lfcc/fold_0.bin
handcrafted-lfcc,dsnn,independent,1,nan,nan,nan,nan,nan,0.706286,0.606800,results/smoke/models/smoke_e05_p01_dsnn_eeg_indep_flat_raw/handcrafted-lfcc/fold_1.bin
