born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
1,4,36,128-103-78-36,direct,1,1,0.249754,0.925599,-0.675845,0.175353,1.68499,1.79219,0.00558117,0.284184,114498,56794,0.113588,1,0
1,3,24,90-85-24,direct,1,1,0.25434,0.921076,-0.666736,0.175416,1.67594,1.79619,0.0124,0.31469,66090,32730,0.06546,1,0
1,1,35,35,direct,1,1,0.278267,0.92845,-0.650183,0.206718,1.66308,1.79771,0.00996393,0.248357,18211,8960,0.01792,1,0
1,2,23,24-23,direct,1,1,0.270497,0.914821,-0.644323,0.185318,1.65473,1.76866,0.00393561,0.250337,13719,6696,0.013392,1,0
1,4,7,65-53-35-7,direct,1,1,0.244672,0.915401,-0.670729,0.160072,1.67838,1.79406,0.0187439,0.283469,44939,22185,0.04437,1,0
1,1,88,88,direct,1,1,0.285489,0.933721,-0.648232,0.21921,1.66275,1.79518,0.00323283,0.222997,45400,22528,0.045056,1,0
1,6,12,109-96-70-35-26-12,direct,1,1,0.318762,0.916612,-0.59785,0.235373,1.61509,1.77837,0.0186597,0.208925,98460,48760,0.09752,1,0
1,2,6,38-6,direct,1,1,0.266493,0.915763,-0.64927,0.182256,1.65931,1.78558,0.0141259,0.293269,20250,9956,0.019912,1,0
1,6,14,113-104-82-80-38-14,direct,1,1,0.20179,0.921003,-0.719213,0.122793,1.72359,1.80327,0.00989601,0.238526,119784,59340,0.11868,1,0
1,5,19,117-82-58-31-19,direct,1,1,0.186749,0.91675,-0.730001,0.103499,1.73309,1.79824,0.00329896,0.268012,94229,46689,0.093378,1,0
1,6,1,111-81-35-22-15-1,direct,1,1,0.16581,0.864153,-0.698344,0.0299633,1.69861,1.71857,0.00173209,0.422882,83499,41357,0.082714,1,0
1,6,1,83-55-35-30-15-1,direct,1,1,0.146734,0.863095,-0.716362,0.00982875,1.71639,1.72257,0.000457946,0.393308,59199,29253,0.058506,1,0
1,1,33,33,direct,1,1,0.247369,0.927261,-0.679892,0.174629,1.68894,1.79682,0.0041074,0.250946,17185,8448,0.016896,1,0
1,1,8,8,direct,1,1,0.295457,0.922917,-0.62746,0.218373,1.64205,1.77121,0.00151141,0.262255,4360,2048,0.004096,1,0
1,4,41,73-66-61-41,direct,1,1,0.252885,0.923697,-0.670812,0.176581,1.68012,1.79128,0.00917205,0.180399,60763,30033,0.060066,1,0
1,1,52,52,direct,1,1,0.287682,0.930779,-0.643097,0.218462,1.65756,1.79105,0.00441159,0.241281,26932,13312,0.026624,1,0
1,1,38,38,direct,1,1,0.255868,0.930385,-0.674517,0.186253,1.68484,1.79767,0.00349592,0.246843,19750,9728,0.019456,1,0
1,5,15,111-46-40-30-15,direct,1,1,0.283903,0.91455,-0.630647,0.198453,1.64268,1.78587,0.01934,0.235672,74749,37012,0.074024,1,0
1,3,13,86-42-13,direct,1,1,0.228706,0.920116,-0.69141,0.148822,1.69794,1.79349,0.00869616,0.271298,52873,26174,0.052348,1,0
1,5,9,115-111-58-22-9,direct,1,1,0.217545,0.918372,-0.700827,0.135916,1.70625,1.79674,0.00984639,0.305638,101111,50117,0.100234,1,0
1,6,12,74-67-50-42-35-12,direct,1,1,0.264388,0.922167,-0.657779,0.186555,1.66824,1.79313,0.0169104,0.248594,63288,31242,0.062484,1,0
1,6,18,120-117-78-53-32-18,direct,1,1,0.209792,0.920547,-0.710755,0.130339,1.71571,1.80515,0.0114102,0.275386,121658,60292,0.120584,1,0
1,4,9,111-58-22-9,direct,1,1,0.25838,0.918651,-0.660271,0.177031,1.66968,1.78883,0.0147047,0.257449,73303,36328,0.072656,1,0
1,1,79,79,direct,1,1,0.29732,0.931204,-0.633883,0.228524,1.64979,1.78798,0.00331017,0.228458,40783,20224,0.040448,1,0
1,4,41,117-116-78-41,direct,1,1,0.254424,0.92629,-0.671867,0.180714,1.68161,1.78963,0.0019445,0.275107,112459,55770,0.11154,1,0
1,3,18,38-31-18,direct,1,1,0.28743,0.917997,-0.630567,0.205426,1.64346,1.78257,0.0134152,0.252413,23340,11464,0.022928,1,0
1,6,6,74-70-67-26-12-6,direct,1,1,0.194638,0.908488,-0.71385,0.103126,1.71695,1.78955,0.0160498,0.314907,62640,30940,0.06188,1,0
2,6,26,74-70-67-42-35-26,direct,1,1,0.25936,0.917699,-0.658339,0.17706,1.66776,1.77571,0.00526762,0.201062,68874,34008,0.068016,1,0
2,1,93,93,direct,1,1,0.296396,0.933397,-0.637002,0.229793,1.65305,1.79266,0.00355089,0.222234,47965,23808,0.047616,1,0
2,6,26,109-67-42-41-35-26,direct,1,1,0.202672,0.911671,-0.708998,0.114343,1.71282,1.78501,0.00476143,0.181961,85046,42088,0.084176,1,0
2,3,38,63-50-38,direct,1,1,0.242754,0.926079,-0.683325,0.168833,1.69177,1.79833,0.00651731,0.20387,42876,21178,0.042356,1,0
2,1,68,68,direct,1,1,0.273469,0.93147,-0.658001,0.204939,1.67062,1.79403,0.0039999,0.229895,35140,17408,0.034816,1,0
2,3,12,126-45-12,direct,1,1,0.262544,0.920139,-0.657595,0.182683,1.66763,1.78056,0.00469954,0.306395,77542,38466,0.076932,1,0
2,3,18,91-31-18,direct,1,1,0.258162,0.923457,-0.665295,0.181619,1.67517,1.79183,0.0099283,0.294821,53868,26675,0.05335,1,0
2,4,9,125-119-47-9,direct,1,1,0.26235,0.926705,-0.664355,0.189054,1.67506,1.79401,0.00682595,0.387248,106629,52891,0.105782,1,0
2,1,117,117,direct,1,1,0.281633,0.934144,-0.652511,0.215777,1.66654,1.79391,0.00117298,0.213836,60277,29952,0.059904,1,0
2,4,9,52-47-45-9,direct,1,1,0.266388,0.926734,-0.660346,0.193123,1.67154,1.80032,0.0150117,0.305275,37105,18276,0.036552,1,0
2,1,55,55,direct,1,1,0.264569,0.930406,-0.665838,0.194975,1.67721,1.79221,0.00060657,0.236516,28471,14080,0.02816,1,0
2,2,59,99-59,direct,1,1,0.263206,0.925285,-0.662079,0.18849,1.67273,1.78926,0.00464061,0.192182,62883,31185,0.06237,1,0
2,5,8,96-58-31-9-8,direct,1,1,0.247081,0.908284,-0.661203,0.155364,1.66845,1.77928,0.0202194,0.292556,65238,32293,0.064586,1,0
2,1,109,109,direct,1,1,0.293024,0.933807,-0.640783,0.22683,1.65639,1.79076,0.00137695,0.216684,56173,27904,0.055808,1,0
2,5,41,109-96-50-42-41,direct,1,1,0.233015,0.924413,-0.691398,0.157428,1.69871,1.79537,0.00464545,0.205389,94871,46990,0.09398,1,0
2,5,12,112-96-35-26-12,direct,1,1,0.263019,0.915377,-0.652358,0.178396,1.66196,1.78293,0.0140509,0.297631,88818,44006,0.088012,1,0
2,4,18,99-38-31-18,direct,1,1,0.224059,0.923787,-0.699728,0.147847,1.70615,1.80594,0.0130144,0.263251,62294,30842,0.061684,1,0
2,6,1,83-46-35-22-15-1,direct,1,1,0.155433,0.864947,-0.709514,0.0203797,1.70964,1.72213,0.000680373,0.415114,56241,27791,0.055582,1,0
2,1,105,105,direct,1,1,0.30598,0.934864,-0.628884,0.240844,1.64659,1.79117,0.00247223,0.217649,54121,26880,0.05376,1,0
2,5,15,83-46-35-30-15,direct,1,1,0.202723,0.916596,-0.713873,0.119319,1.71802,1.79056,0.00212152,0.264268,57011,28176,0.056352,1,0
2,5,9,81-58-43-31-9,direct,1,1,0.229303,0.916564,-0.687261,0.145867,1.69355,1.80272,0.0167845,0.325261,59771,29540,0.05908,1,0
2,1,51,51,direct,1,1,0.284983,0.928911,-0.643928,0.213894,1.65778,1.79008,0.00501016,0.238566,26419,13056,0.026112,1,0
2,1,110,110,direct,1,1,0.297707,0.934648,-0.63694,0.232355,1.65335,1.79278,0.0023937,0.214766,56686,28160,0.05632,1,0
2,6,1,83-55-30-29-15-1,direct,1,1,0.158241,0.864683,-0.706441,0.0229238,1.7066,1.72053,0.000700125,0.434794,58247,28783,0.057566,1,0
