born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
1,3,5,88-23-5,direct,1,1,2,0.182308,0.938228,-0.75592,0.120535,1.76005,1.84627,0.0176894,0.358815,49817,24667,0.049334,1,0
1,2,23,26-23,direct,1,1,2,0.182998,0.940758,-0.75776,0.123756,1.76211,1.83541,0.000891012,0.263494,14839,7254,0.014508,1,0
1,4,26,70-55-27-26,direct,1,1,2,0.192063,0.934799,-0.742736,0.126861,1.74735,1.82882,0.00821648,0.21856,48500,23957,0.047914,1,0
1,5,1,121-107-68-24-1,direct,1,1,2,0,0.939815,-0.939815,-0.0601852,1.94075,1.97607,6.31586e-05,0.397943,106607,52855,0.10571,1,0
1,1,108,108,direct,1,1,2,0.245068,0.939482,-0.694413,0.18455,1.70443,1.81486,0.00173269,0.127446,55660,27648,0.055296,1,0
1,1,68,68,direct,1,1,0,0.23623,0.936806,-0.700576,0.173035,1.70936,1.81445,0.00283585,0.153108,35140,17408,0.034816,1,0
1,4,9,86-42-13-9,direct,1,1,0,0.205073,0.942504,-0.737432,0.147577,1.74369,1.83752,0.00592955,0.347863,53129,26291,0.052582,1,0
1,4,49,80-72-67-49,direct,1,1,2,0.23288,0.939256,-0.706376,0.172136,1.71504,1.8193,0.00242969,0.153112,69437,34347,0.068694,1,0
1,3,69,105-81-69,direct,1,1,2,0.228756,0.938657,-0.709901,0.167412,1.71808,1.8175,0.00138097,0.14566,82645,40974,0.081948,1,0
1,3,6,38-18-6,direct,1,1,0,0.15067,0.935163,-0.784493,0.0858334,1.78656,1.84602,0.00652616,0.49232,21414,10520,0.02104,1,0
1,3,13,86-43-13,direct,1,1,1,0.225695,0.938431,-0.712736,0.164126,1.72058,1.82201,0.00733755,0.299966,53073,26273,0.052546,1,0
1,5,1,83-46-40-22-1,direct,1,1,2,0,0.940079,-0.940079,-0.0599206,1.941,1.97619,8.61121e-05,0.416566,56255,27808,0.055616,1,0
1,4,19,90-39-22-19,direct,1,1,0,0.19091,0.937712,-0.746802,0.128622,1.75153,1.83129,0.0039021,0.257916,56229,27826,0.055652,1,0
1,4,19,103-38-36-19,direct,1,1,1,0.207042,0.937169,-0.730127,0.144211,1.73613,1.82622,0.00449799,0.291098,65297,32334,0.064668,1,0
1,2,59,91-59,direct,1,1,2,0.251023,0.939297,-0.688274,0.19032,1.69897,1.81505,0.00403033,0.148022,57827,28665,0.05733,1,0
1,5,12,93-91-33-31-12,direct,1,1,1,0.204942,0.940101,-0.73516,0.145043,1.74121,1.82931,0.00341012,0.178805,74102,36669,0.073338,1,0
1,6,12,74-67-35-26-19-12,direct,1,1,2,0.150373,0.935968,-0.785595,0.086341,1.78768,1.84785,0.00760262,0.337797,56468,27879,0.055758,1,0
1,5,7,126-75-65-53-7,direct,1,1,0,0.179393,0.936243,-0.756851,0.115636,1.76065,1.83905,0.0129139,0.446256,101695,50397,0.100794,1,0
1,2,8,12-8,direct,1,1,0,0.0461903,0.939418,-0.893228,-0.0143917,1.89328,1.9055,0.00300557,0.714852,6624,3168,0.006336,1,0
1,6,51,119-115-100-88-58-51,direct,1,1,0,0.203919,0.936677,-0.732758,0.140595,1.73845,1.82756,0.00580899,0.163161,146289,72511,0.145022,1,0
1,2,18,38-18,direct,1,1,0,0.183152,0.937662,-0.75451,0.120813,1.75866,1.82983,0.000383017,0.235575,21174,10412,0.020824,1,0
1,3,39,92-56-39,direct,1,1,1,0.209251,0.940001,-0.73075,0.149253,1.73717,1.82601,0.00100287,0.164002,62367,30888,0.061776,1,0
1,3,40,58-43-40,direct,1,1,2,0.241823,0.937586,-0.695763,0.179409,1.70523,1.8225,0.00864007,0.159176,38622,19062,0.038124,1,0
1,2,30,79-30,direct,1,1,1,0.239257,0.939466,-0.70021,0.178723,1.70958,1.8198,0.00392247,0.218472,45632,22594,0.045188,1,0
1,6,16,95-70-54-42-24-16,direct,1,1,1,0.169802,0.937822,-0.768021,0.107624,1.77129,1.83712,0.0027656,0.269514,77662,38410,0.07682,1,0
1,6,22,125-67-47-42-29-22,direct,1,1,2,0.190535,0.937572,-0.747037,0.128108,1.75173,1.83678,0.00834911,0.2308,95606,47354,0.094708,1,0
2,1,65,65,direct,1,1,2,0.225666,0.938972,-0.713307,0.164638,1.7212,1.81952,0.00132822,0.155366,33601,16640,0.03328,1,0
2,2,6,38-6,direct,1,1,2,0.198663,0.931922,-0.733259,0.130586,1.73817,1.83157,0.0136847,0.320531,20250,9956,0.019912,1,0
2,1,27,27,direct,1,1,0,0.202296,0.940074,-0.737779,0.14237,1.7436,1.82996,0.00358689,0.207535,14107,6912,0.013824,1,0
2,4,9,58-42-40-9,direct,1,1,2,0.178462,0.936155,-0.757693,0.114617,1.76143,1.83481,0.00466525,0.32875,39193,19324,0.038648,1,0
2,6,19,117-82-40-31-27-19,direct,1,1,0,0.166132,0.943101,-0.776969,0.109233,1.78032,1.8566,0.00905446,0.204199,91701,45416,0.090832,1,0
2,6,19,82-76-40-31-27-19,direct,1,1,0,0.163487,0.93845,-0.774964,0.101937,1.77789,1.84748,0.007223,0.25225,66495,32854,0.065708,1,0
2,6,51,119-105-100-69-58-51,direct,1,1,2,0.205532,0.937735,-0.732203,0.143267,1.73812,1.82577,0.00270861,0.171081,135847,67319,0.134638,1,0
2,2,18,98-18,direct,1,1,2,0.24381,0.937331,-0.693521,0.181141,1.70318,1.81879,0.00677139,0.224788,54174,26852,0.053704,1,0
2,4,62,99-81-69-62,direct,1,1,1,0.230046,0.938008,-0.707962,0.168054,1.71621,1.81975,0.00365486,0.14459,87276,43230,0.08646,1,0
2,2,23,86-23,direct,1,1,0,0.241527,0.937762,-0.696235,0.179289,1.70568,1.81629,0.00683372,0.218367,48439,23994,0.047988,1,0
2,4,6,38-34-18-6,direct,1,1,1,0.191668,0.939242,-0.747574,0.13091,1.75247,1.83126,0.00155144,0.549926,23922,11740,0.02348,1,0
2,4,6,90-42-24-6,direct,1,1,2,0.169627,0.939903,-0.770276,0.10953,1.77366,1.83996,0.00241231,0.533702,56518,27972,0.055944,1,0
2,4,6,68-42-24-6,direct,1,1,1,0.173087,0.937654,-0.764567,0.110741,1.76804,1.83607,0.00280163,0.34055,43362,21416,0.042832,1,0
2,4,27,105-55-40-27,direct,1,1,0,0.205622,0.936596,-0.730974,0.142218,1.73681,1.82644,0.00476606,0.260253,72553,35935,0.07187,1,0
2,5,6,70-68-34-24-6,direct,1,1,0,0.18478,0.937831,-0.753051,0.122611,1.75733,1.84123,0.0119998,0.522908,52558,25952,0.051904,1,0
2,1,80,80,direct,1,1,1,0.258667,0.938515,-0.679848,0.197183,1.69138,1.81045,0.00277151,0.143521,41296,20480,0.04096,1,0
2,1,5,5,direct,1,1,0,0.111597,0.940582,-0.828985,0.0521787,1.82973,1.88957,0.0329168,0.408776,2821,1280,0.00256,1,0
2,2,90,112-90,direct,1,1,1,0.256447,0.939352,-0.682905,0.195799,1.69426,1.81221,0.00246212,0.127375,78074,38752,0.077504,1,0
2,1,16,16,direct,1,1,0,0.179223,0.943254,-0.764031,0.122477,1.76828,1.8438,0.00308345,0.256203,8464,4096,0.008192,1,0
2,2,38,68-38,direct,1,1,2,0.244762,0.939582,-0.69482,0.184343,1.70482,1.81639,0.00344148,0.165599,40414,19992,0.039984,1,0
2,3,6,99-91-6,direct,1,1,2,0.173235,0.937566,-0.764331,0.110801,1.76781,1.8348,0.00166489,0.323591,70440,34899,0.069798,1,0
2,4,9,86-43-40-9,direct,1,1,1,0.215038,0.932319,-0.717281,0.147357,1.72359,1.82472,0.0107574,0.353331,56191,27794,0.055588,1,0
2,6,19,82-58-57-31-27-19,direct,1,1,2,0.181108,0.936536,-0.755428,0.117644,1.75937,1.8379,0.0107596,0.230843,65127,32171,0.064342,1,0
2,1,81,81,direct,1,1,2,0.243781,0.939599,-0.695818,0.183381,1.7057,1.816,0.00238556,0.141257,41809,20736,0.041472,1,0
2,2,24,38-24,direct,1,1,2,0.220854,0.937269,-0.716414,0.158123,1.72368,1.82787,0.00823665,0.213151,21636,10640,0.02128,1,0
2,3,26,127-29-26,direct,1,1,2,0.21763,0.934147,-0.716517,0.151777,1.72321,1.82633,0.0101721,0.227503,74492,36949,0.073898,1,0
2,5,19,82-40-31-27-19,direct,1,1,1,0.199576,0.936236,-0.73666,0.135812,1.74196,1.83553,0.0119007,0.227867,54359,26862,0.053724,1,0
2,2,30,121-30,direct,1,1,0,0.241592,0.938911,-0.697319,0.180503,1.70689,1.8212,0.00617161,0.213141,69740,34606,0.069212,1,0
3,5,27,70-67-55-40-27,direct,1,1,2,0.208853,0.94004,-0.731188,0.148893,1.73758,1.83173,0.00510355,0.222451,59897,29575,0.05915,1,0
3,4,26,106-99-51-26,direct,1,1,1,0.223552,0.937592,-0.714039,0.161144,1.7216,1.82466,0.00637296,0.196038,88804,44005,0.08801,1,0
3,1,22,22,direct,1,1,2,0.214591,0.939406,-0.724815,0.153997,1.73168,1.82813,0.00477345,0.228839,11542,5632,0.011264,1,0
3,6,19,82-58-40-31-27-19,direct,1,1,2,0.155725,0.936007,-0.780281,0.0917321,1.78264,1.84876,0.00955577,0.255326,62067,30658,0.061316,1,0
3,2,8,68-8,direct,1,1,2,0.204569,0.93502,-0.730451,0.139589,1.73607,1.8271,0.00829944,0.413457,36304,17952,0.035904,1,0
3,1,94,94,direct,1,1,0,0.247981,0.939453,-0.691472,0.187434,1.70183,1.81358,0.00271241,0.135501,48478,24064,0.048128,1,0
3,4,27,70-67-40-27,direct,1,1,1,0.218906,0.938463,-0.719557,0.157368,1.72674,1.82584,0.0056689,0.210816,53377,26370,0.05274,1,0
3,1,75,75,direct,1,1,0,0.243946,0.939187,-0.695241,0.183133,1.7051,1.81471,0.00176809,0.143568,38731,19200,0.0384,1,0
3,3,24,90-42-24,direct,1,1,1,0.22195,0.93772,-0.715771,0.15967,1.72318,1.82314,0.00595906,0.25186,56200,27828,0.055656,1,0
3,4,13,86-80-43-13,direct,1,1,2,0.200929,0.93604,-0.735111,0.136969,1.74051,1.82603,0.00423105,0.274857,66477,32895,0.06579,1,0
3,2,46,108-46,direct,1,1,0,0.229203,0.940068,-0.710865,0.169271,1.71922,1.81907,0.00058323,0.183003,65750,32616,0.065232,1,0
3,6,16,104-70-54-42-24-16,direct,1,1,1,0.168044,0.937996,-0.769952,0.10604,1.77313,1.83974,0.00603308,0.307164,83548,41344,0.082688,1,0
3,4,27,68-67-55-27,direct,1,1,1,0.218827,0.93665,-0.717823,0.155477,1.72484,1.82438,0.00826116,0.20757,54931,27134,0.054268,1,0
3,3,40,94-43-40,direct,1,1,0,0.243895,0.936842,-0.692947,0.180737,1.70257,1.8147,0.00445672,0.174432,60222,29826,0.059652,1,0
3,4,13,86-43-26-13,direct,1,1,0,0.186711,0.938797,-0.752086,0.125509,1.75658,1.83714,0.0067352,0.318385,54919,27170,0.05434,1,0
3,1,92,92,direct,1,1,1,0.246535,0.94045,-0.693915,0.186986,1.7042,1.8159,0.00152836,0.137492,47452,23552,0.047104,1,0
3,2,24,127-24,direct,1,1,0,0.245387,0.937638,-0.692251,0.183025,1.70212,1.81173,0.00177347,0.210228,71654,35560,0.07112,1,0
3,2,9,37-9,direct,1,1,1,0.174086,0.937978,-0.763891,0.112064,1.76745,1.83556,0.00183711,0.302141,19949,9805,0.01961,1,0
3,1,70,70,direct,1,1,2,0.2497,0.939618,-0.689918,0.189318,1.70049,1.81457,0.00227209,0.148408,36166,17920,0.03584,1,0
3,1,121,121,direct,1,1,0,0.252794,0.939617,-0.686823,0.192411,1.69776,1.81265,0.00303791,0.123364,62329,30976,0.061952,1,0
3,6,27,68-67-55-40-29-27,direct,1,1,2,0.163647,0.94199,-0.778343,0.105637,1.78148,1.84897,0.00431104,0.259849,60385,29792,0.059584,1,0
3,1,110,110,direct,1,1,1,0.245779,0.939636,-0.693857,0.185414,1.70397,1.8132,0.000443695,0.131088,56686,28160,0.05632,1,0
4,5,5,67-55-41-40-5,direct,1,1,2,0.190586,0.933069,-0.742483,0.123654,1.74687,1.82878,0.00682718,0.441783,50531,24932,0.049864,1,0
4,6,27,86-68-67-55-40-27,direct,1,1,1,0.199898,0.937645,-0.737747,0.137542,1.74318,1.82709,0.00294668,0.177377,79685,39385,0.07877,1,0
4,1,9,9,direct,1,1,0,0.133649,0.939918,-0.806269,0.0735664,1.80777,1.85728,0.00454502,0.30662,4873,2304,0.004608,1,0
4,2,70,98-70,direct,1,1,0,0.24947,0.939537,-0.690067,0.189007,1.7006,1.81646,0.00393129,0.133169,64418,31948,0.063896,1,0
4,1,12,12,direct,1,1,2,0.168004,0.941226,-0.773222,0.109229,1.77658,1.84461,0.00345565,0.277039,6412,3072,0.006144,1,0
4,5,6,90-42-41-24-6,direct,1,1,2,0.126688,0.937522,-0.810834,0.06421,1.81197,1.86637,0.0207312,0.464264,59996,29670,0.05934,1,0
4,1,90,90,direct,1,1,2,0.239937,0.939884,-0.699947,0.179821,1.70943,1.81582,0.000803858,0.138337,46426,23040,0.04608,1,0
4,1,44,44,direct,1,1,1,0.226858,0.938393,-0.711534,0.165251,1.71949,1.81936,0.00217331,0.173846,22828,11264,0.022528,1,0
4,2,62,68-62,direct,1,1,0,0.231136,0.938917,-0.70778,0.170053,1.71623,1.81672,0.000622549,0.15428,43702,21624,0.043248,1,0
4,2,21,110-21,direct,1,1,0,0.259808,0.939777,-0.679969,0.199585,1.69178,1.81553,0.00483328,0.247108,61437,30470,0.06094,1,0
4,1,38,38,direct,1,1,0,0.22206,0.93828,-0.716219,0.16034,1.72369,1.81996,0.0025257,0.183401,19750,9728,0.019456,1,0
4,3,24,81-40-24,direct,1,1,0,0.218398,0.939098,-0.7207,0.157497,1.72789,1.82426,0.00370361,0.214155,50394,24936,0.049872,1,0
4,2,19,68-19,direct,1,1,2,0.241242,0.93664,-0.695399,0.177882,1.7047,1.81293,0.00324877,0.241006,37811,18700,0.0374,1,0
4,2,44,75-44,direct,1,1,1,0.233396,0.94063,-0.707234,0.174025,1.71608,1.82038,0.00259604,0.172274,45450,22500,0.045,1,0
4,4,6,90-48-42-6,direct,1,1,1,0.146552,0.939947,-0.793395,0.086499,1.79548,1.84894,0.00389586,0.46585,59878,29628,0.059256,1,0
5,2,8,62-8,direct,1,1,2,0.200937,0.937186,-0.736249,0.138123,1.74173,1.82899,0.00799771,0.357525,33124,16368,0.032736,1,0
5,2,12,87-12,direct,1,1,0,0.21531,0.93567,-0.72036,0.15098,1.72697,1.8217,0.00501122,0.296569,47074,23316,0.046632,1,0
5,1,91,91,direct,1,1,0,0.239175,0.940747,-0.701572,0.179921,1.71106,1.81767,0.0016173,0.136433,46939,23296,0.046592,1,0
5,5,10,126-42-24-12-10,direct,1,1,1,0.176829,0.941772,-0.764943,0.118602,1.76892,1.84488,0.00563095,0.434948,78602,38964,0.077928,1,0
5,1,109,109,direct,1,1,1,0.252761,0.939135,-0.686375,0.191896,1.69726,1.812,0.00165401,0.12819,56173,27904,0.055808,1,0
5,1,3,3,direct,1,1,2,0.0265404,0.939198,-0.912657,-0.0342621,1.91296,1.94029,0.00886535,0.510576,1795,768,0.001536,1,0
5,3,6,90-39-6,direct,1,1,0,0.226466,0.937632,-0.711166,0.164099,1.71902,1.8301,0.0129187,0.309779,54088,26784,0.053568,1,0
5,1,57,57,direct,1,1,2,0.248766,0.938982,-0.690216,0.187747,1.70061,1.81272,0.00218866,0.160559,29497,14592,0.029184,1,0
5,2,101,103-101,direct,1,1,0,0.24688,0.939916,-0.693036,0.186795,1.70331,1.81424,0.00150263,0.120284,74105,36771,0.073542,1,0
5,2,30,87-30,direct,1,1,0,0.243305,0.937923,-0.694618,0.181229,1.70428,1.81523,0.00345447,0.232525,50224,24882,0.049764,1,0
5,5,27,68-67-55-40-27,direct,1,1,1,0.17255,0.937502,-0.764953,0.110052,1.76838,1.83856,0.00442177,0.243286,58601,28929,0.057858,1,0
5,1,64,64,direct,1,1,1,0.230559,0.937928,-0.707369,0.168487,1.71566,1.81786,0.00269743,0.157551,33088,16384,0.032768,1,0
5,1,48,48,direct,1,1,0,0.237464,0.938881,-0.701416,0.176345,1.71053,1.81696,0.00227077,0.169535,24880,12288,0.024576,1,0
5,3,23,121-67-23,direct,1,1,1,0.227777,0.938038,-0.71026,0.165815,1.71828,1.81618,0.000820012,0.235795,81903,40624,0.081248,1,0
5,5,5,67-55-40-27-5,direct,1,1,0,0.171379,0.939868,-0.768489,0.111246,1.77198,1.84515,0.00799022,0.578081,49143,24252,0.048504,1,0
6,3,8,68-67-8,direct,1,1,1,0.197289,0.936425,-0.739136,0.133714,1.74427,1.83068,0.00573581,0.280109,45534,22500,0.045,1,0
6,1,41,41,direct,1,1,1,0.233622,0.939854,-0.706231,0.173476,1.71503,1.81916,0.00299489,0.182728,21289,10496,0.020992,1,0
6,1,46,46,direct,1,1,2,0.240532,0.939128,-0.698595,0.17966,1.70807,1.81562,0.00190873,0.175264,23854,11776,0.023552,1,0
6,2,16,127-16,direct,1,1,1,0.247012,0.938062,-0.69105,0.185074,1.70115,1.81574,0.00471694,0.275313,69614,34544,0.069088,1,0
6,2,57,103-57,direct,1,1,0,0.236895,0.938959,-0.702064,0.175853,1.71112,1.81441,0.000214806,0.163497,64997,32239,0.064478,1,0
6,2,23,48-23,direct,1,1,0,0.207939,0.938141,-0.730202,0.14608,1.73636,1.82306,0.000858668,0.247798,27159,13392,0.026784,1,0
