born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
1,5,30,126-68-67-34-30,poisson,16,0.2,0,0.0886743,0.922535,-0.833861,0.0112096,1.8339,1.86425,0.0175399,0.925632,98232,778848,1.5577,1,0
1,1,111,111,latency,16,0.2,1,0.280495,0.936314,-0.655819,0.216808,1.66995,1.79821,0.00115858,0.197899,57199,454656,0.909312,1,0
1,2,38,68-38,latency,16,0.2,1,0.268747,0.935192,-0.666445,0.20394,1.67888,1.80151,0.00260554,0.197368,40414,319872,0.639744,1,0
1,5,15,118-111-109-84-15,latency,16,0.2,0,0.124711,0.898263,-0.773551,0.0229742,1.7737,1.80036,0.010097,0.305076,132757,1053136,2.10627,1,0
1,5,6,107-42-20-12-6,poisson,16,0.2,2,0.0377493,0.943695,-0.905946,-0.0185558,1.90604,1.93606,0.014233,0.62767,66700,528608,1.05722,1,0
1,3,31,126-61-31,latency,16,0.2,2,0.228602,0.92931,-0.700707,0.157912,1.70802,1.8078,0.00957714,0.274339,84327,669328,1.33866,1,0
1,2,35,65-35,direct,1,1,0,0.253504,0.937309,-0.683805,0.190813,1.69458,1.81145,0.00372761,0.535527,38251,18915,0.03783,1,0
1,6,3,104-73-50-39-13-3,latency,16,0.2,2,0.112747,0.907981,-0.795233,0.0207281,1.79535,1.84782,0.0435739,0.277025,81541,645792,1.29158,1,0
1,3,75,97-78-75,direct,1,1,1,0.230863,0.934734,-0.70387,0.165597,1.7119,1.81064,0.00143671,0.608301,77177,38248,0.076496,1,0
1,2,22,77-22,poisson,16,0.2,1,0.257094,0.932973,-0.675878,0.190067,1.68662,1.80186,0.00361922,0.415974,43244,342496,0.684992,1,0
1,6,3,122-73-50-39-13-3,poisson,16,0.2,1,0.00458142,0.931217,-0.926636,-0.0642017,1.9277,1.97706,0.0162244,1.01095,93421,740544,1.48109,1,0
