born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
1,1,122,122,direct,1,1,1,0.292297,0.93638,-0.644083,0.228677,1.65991,1.79715,0.00263685,0.200045,62842,31232,0.062464,1,0
1,1,92,92,direct,1,1,0,0.281866,0.933388,-0.651522,0.215254,1.66549,1.79612,0.00321115,0.19575,47452,23552,0.047104,1,0
1,2,93,103-93,latency,16,0.2,2,0.266314,0.936026,-0.669711,0.20234,1.68193,1.80178,0.000960113,0.32409,72449,575152,1.1503,1,0
1,6,25,116-115-82-72-34-25,latency,16,0.2,1,0.129582,0.906915,-0.777333,0.0364973,1.77771,1.80533,0.00502237,0.260672,124455,986688,1.97338,1,0
1,6,25,116-113-82-72-45-25,latency,16,0.2,0,0.170503,0.910011,-0.739507,0.0805138,1.74137,1.79987,0.010179,0.257357,125815,997424,1.99485,1,0
1,5,30,126-67-48-34-30,direct,1,1,0,0.148767,0.959295,-0.810528,0.108061,1.81375,1.89634,0.0137964,0.719223,93968,46566,0.093132,1,0
1,1,12,12,latency,16,0.2,1,0.153622,0.911354,-0.757731,0.0649758,1.75893,1.80554,0.00634104,0.149569,6412,49152,0.098304,1,0
1,2,55,67-55,poisson,16,0.2,2,0.267236,0.937602,-0.670366,0.204838,1.68288,1.80436,0.001926,0.277373,42119,333392,0.666784,1,0
1,3,23,83-66-23,latency,16,0.2,0,0.239203,0.930579,-0.691376,0.169781,1.69988,1.8057,0.00621894,0.394509,57065,451904,0.903808,1,0
1,2,38,94-38,direct,1,1,2,0.267178,0.933549,-0.666371,0.200728,1.67842,1.80232,0.00874515,0.488718,55754,27636,0.055272,1,0
1,1,111,111,latency,16,0.2,0,0.279823,0.935046,-0.655223,0.214869,1.66911,1.79588,0.00076653,0.214563,57199,454656,0.909312,1,0
1,3,61,126-81-61,poisson,16,0.2,2,0.258927,0.935103,-0.676176,0.19403,1.68737,1.8015,0.000356906,0.46973,95537,758448,1.5169,1,0
1,1,66,66,latency,16,0.2,2,0.271486,0.932205,-0.660719,0.203691,1.67316,1.79583,0.0034877,0.216903,34114,270336,0.540672,1,0
1,1,127,127,latency,16,0.2,1,0.28048,0.935777,-0.655297,0.216256,1.66936,1.79731,0.00173096,0.212577,65407,520192,1.04038,1,0
1,3,44,119-108-44,latency,16,0.2,1,0.285018,0.934367,-0.64935,0.219385,1.66388,1.79661,0.00547449,0.425704,96890,769088,1.53818,1,0
