born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
4,2,24,36-24,poisson,16,0.2,0.257942,0.934254,-0.676312,0.192195,1.68729,1.80307,0.00297971,0.216044,20512,161280,0.32256,1,0
4,1,19,19,poisson,16,0.2,0.185118,0.920036,-0.734918,0.105155,1.7381,1.80356,0.00272679,0.202473,10003,77824,0.155648,1,0
4,2,24,120-24,poisson,16,0.2,0.269706,0.938117,-0.668411,0.207824,1.6813,1.80579,0.00254062,0.318182,67720,537600,1.0752,1,0
4,1,98,98,poisson,16,0.2,0.28189,0.938057,-0.656168,0.219947,1.67071,1.8024,0.00202503,0.255511,50530,401408,0.802816,1,0
4,2,30,117-30,poisson,16,0.2,0.266242,0.935908,-0.669667,0.20215,1.68186,1.80454,0.0058623,0.330115,67444,535392,1.07078,1,0
4,2,24,73-24,poisson,16,0.2,0.285504,0.935593,-0.650089,0.221097,1.66484,1.8053,0.0105262,0.293055,41306,327040,0.65408,1,0
5,1,31,31,poisson,16,0.2,0.208984,0.92145,-0.712465,0.130434,1.71743,1.80027,0.00550698,0.220568,16159,126976,0.253952,1,0
5,2,49,51-49,poisson,16,0.2,0.27159,0.938228,-0.666637,0.209818,1.67979,1.80679,0.00306867,0.243649,31517,248880,0.49776,1,0
5,1,69,69,poisson,16,0.2,0.287393,0.934905,-0.647513,0.222298,1.66244,1.79771,0.00383214,0.243636,35653,282624,0.565248,1,0
5,1,50,50,poisson,16,0.2,0.25877,0.930648,-0.671878,0.189419,1.68257,1.79835,0.00351536,0.23971,25906,204800,0.4096,1,0
5,1,77,77,poisson,16,0.2,0.272003,0.936195,-0.664192,0.208199,1.67716,1.79964,0.00048806,0.250211,39757,315392,0.630784,1,0
6,1,6,6,poisson,16,0.2,0.152165,0.9056,-0.753435,0.0577644,1.75439,1.80136,0.0141481,0.0845961,3334,24576,0.049152,1,0
6,1,74,74,poisson,16,0.2,0.279042,0.935832,-0.656791,0.214874,1.67067,1.79968,0.00223129,0.251432,38218,303104,0.606208,1,0
6,1,96,96,poisson,16,0.2,0.278928,0.937979,-0.659051,0.216908,1.67317,1.80477,0.00408422,0.253579,49504,393216,0.786432,1,0
7,2,49,68-49,poisson,16,0.2,0.260379,0.935936,-0.675556,0.196315,1.68702,1.8071,0.00378807,0.26607,41921,331840,0.66368,1,0
7,2,49,93-49,poisson,16,0.2,0.267048,0.937491,-0.670443,0.204538,1.68292,1.80536,0.00198631,0.341617,57221,453840,0.90768,1,0
7,1,113,113,poisson,16,0.2,0.290433,0.939376,-0.648943,0.229809,1.66488,1.80178,0.001628,0.258525,58225,462848,0.925696,1,0
7,1,91,91,poisson,16,0.2,0.278777,0.938076,-0.6593,0.216853,1.67341,1.80472,0.0031831,0.250938,46939,372736,0.745472,1,0
7,1,93,93,poisson,16,0.2,0.291228,0.938122,-0.646895,0.22935,1.66279,1.80376,0.00545981,0.248373,47965,380928,0.761856,1,0
7,1,21,21,poisson,16,0.2,0.179513,0.91603,-0.736518,0.0955431,1.73914,1.80176,0.00474897,0.216822,11029,86016,0.172032,1,0
