born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
3,1,52,52,latency,16,0.2,0.250859,0.929871,-0.679012,0.18073,1.68871,1.79616,0.00111996,0.214874,26932,212992,0.425984,1,0
3,2,5,69-5,latency,16,0.2,0.199144,0.921455,-0.722311,0.120599,1.72653,1.80819,0.0146006,0.303605,36417,288144,0.576288,1,0
4,3,30,36-33-30,latency,16,0.2,0.22374,0.926151,-0.70241,0.149891,1.709,1.81265,0.0119042,0.237636,23212,182304,0.364608,1,0
4,2,19,30-19,latency,16,0.2,0.243335,0.933862,-0.690527,0.177198,1.69979,1.81002,0.00903964,0.201898,16835,132000,0.264,1,0
4,1,33,33,latency,16,0.2,0.218323,0.922198,-0.703876,0.140521,1.70966,1.79667,0.00516643,0.199563,17185,135168,0.270336,1,0
4,2,33,120-33,latency,16,0.2,0.252713,0.936203,-0.68349,0.188916,1.69406,1.80661,0.00206995,0.361752,69889,554880,1.10976,1,0
4,1,98,98,latency,16,0.2,0.279772,0.934799,-0.655028,0.214571,1.66888,1.79704,0.00231137,0.214555,50530,401408,0.802816,1,0
4,2,59,117-59,latency,16,0.2,0.272445,0.935761,-0.663316,0.208206,1.6763,1.80024,0.00241869,0.342369,74259,589680,1.17936,1,0
4,2,30,62-30,latency,16,0.2,0.266671,0.93284,-0.666169,0.19951,1.67807,1.80344,0.00608952,0.277608,35874,283712,0.567424,1,0
4,2,30,52-30,latency,16,0.2,0.270853,0.933302,-0.66245,0.204155,1.67494,1.80144,0.00491008,0.280524,30134,237952,0.475904,1,0
4,2,8,73-8,latency,16,0.2,0.226124,0.925397,-0.699273,0.151521,1.70602,1.80681,0.0138025,0.297506,38954,308352,0.616704,1,0
5,1,31,31,latency,16,0.2,0.226076,0.917712,-0.691636,0.143789,1.69774,1.79467,0.00979666,0.190557,16159,126976,0.253952,1,0
5,2,33,51-33,latency,16,0.2,0.240646,0.934175,-0.693529,0.174821,1.70253,1.80761,0.00202759,0.274043,29869,235824,0.471648,1,0
5,1,69,69,latency,16,0.2,0.271171,0.932352,-0.661181,0.203523,1.6736,1.79319,0.000269997,0.21813,35653,282624,0.565248,1,0
5,1,50,50,latency,16,0.2,0.263875,0.929362,-0.665488,0.193237,1.67666,1.793,0.00434975,0.210696,25906,204800,0.4096,1,0
5,1,77,77,latency,16,0.2,0.27727,0.931605,-0.654335,0.208876,1.66747,1.7948,0.00403736,0.213559,39757,315392,0.630784,1,0
6,1,6,6,latency,16,0.2,0.117348,0.908532,-0.791184,0.0258793,1.79137,1.82698,0.0174554,0.118846,3334,24576,0.049152,1,0
6,1,74,74,latency,16,0.2,0.272417,0.932967,-0.66055,0.205384,1.6732,1.79536,0.0019257,0.219237,38218,303104,0.606208,1,0
6,1,96,96,latency,16,0.2,0.277646,0.934459,-0.656813,0.212105,1.67033,1.7956,0.00101044,0.214248,49504,393216,0.786432,1,0
7,2,50,68-50,latency,16,0.2,0.25817,0.935381,-0.677211,0.193551,1.68834,1.80334,0.00118482,0.289696,42058,332928,0.665856,1,0
7,2,6,93-6,latency,16,0.2,0.244648,0.92037,-0.675722,0.165018,1.68383,1.79605,0.0110815,0.312882,49180,389856,0.779712,1,0
7,1,113,113,latency,16,0.2,0.280983,0.933765,-0.652782,0.214749,1.66667,1.79599,0.00249005,0.216327,58225,462848,0.925696,1,0
7,1,91,91,latency,16,0.2,0.275326,0.933576,-0.65825,0.208902,1.67136,1.79761,0.00277002,0.213512,46939,372736,0.745472,1,0
7,1,93,93,latency,16,0.2,0.279587,0.93183,-0.652243,0.211417,1.66571,1.79482,0.00548273,0.213494,47965,380928,0.761856,1,0
7,1,21,21,latency,16,0.2,0.201793,0.919589,-0.717796,0.121383,1.72208,1.79544,0.00195175,0.169707,11029,86016,0.172032,1,0
8,1,29,29,latency,16,0.2,0.221466,0.91913,-0.697664,0.140596,1.70348,1.79713,0.00798772,0.195777,15133,118784,0.237568,1,0
8,2,3,6-3,latency,16,0.2,0.0921891,0.907363,-0.815174,-0.000447562,1.81517,1.82532,0.00970969,0.196299,3379,24864,0.049728,1,0
8,1,45,45,latency,16,0.2,0.255394,0.927546,-0.672151,0.18294,1.68213,1.79321,0.0034815,0.205319,23341,184320,0.36864,1,0
8,1,79,79,latency,16,0.2,0.29488,0.932431,-0.63755,0.227311,1.65325,1.79267,0.00446349,0.214293,40783,323584,0.647168,1,0
8,2,6,53-6,latency,16,0.2,0.243797,0.922487,-0.678689,0.166284,1.68691,1.79525,0.00773481,0.256682,28140,222176,0.444352,1,0
9,2,31,78-31,latency,16,0.2,0.263856,0.933303,-0.669448,0.197159,1.68105,1.80335,0.00580727,0.302779,45215,358176,0.716352,1,0
9,2,6,30-6,latency,16,0.2,0.206304,0.917284,-0.71098,0.123588,1.71544,1.80931,0.0164615,0.158781,16042,125760,0.25152,1,0
9,2,6,101-6,latency,16,0.2,0.211459,0.921869,-0.710411,0.133328,1.7156,1.80113,0.00630461,0.34149,53388,423392,0.846784,1,0
9,2,3,50-3,latency,16,0.2,0.183739,0.91358,-0.729841,0.0973196,1.73258,1.81058,0.0150499,0.208435,26259,207200,0.4144,1,0
9,1,73,73,latency,16,0.2,0.277576,0.933458,-0.655882,0.211034,1.66928,1.79473,0.00129942,0.209951,37705,299008,0.598016,1,0
9,2,10,62-10,latency,16,0.2,0.231819,0.929206,-0.697388,0.161025,1.70501,1.80318,0.00521264,0.257949,33374,263872,0.527744,1,0
9,1,63,63,latency,16,0.2,0.265788,0.932069,-0.666281,0.197858,1.67799,1.79577,0.00132949,0.216233,32575,258048,0.516096,1,0
