born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
32,3,3,55-48-3,direct,1,1,0,0.175003,0.914374,-0.739371,0.0893771,1.74167,1.80189,0.00833759,0.50289,34193,16864,0.033728,1,0
32,2,16,93-16,direct,1,1,1,0.248503,0.930481,-0.681978,0.178984,1.69147,1.80032,0.00286459,0.309772,51050,25296,0.050592,1,0
32,2,3,64-3,direct,1,1,2,0.190591,0.915035,-0.724444,0.105627,1.72768,1.80489,0.0111778,0.458059,33539,16576,0.033152,1,0
33,2,3,20-3,direct,1,1,2,0.17688,0.918298,-0.741418,0.0951782,1.74402,1.82791,0.0254607,0.608141,10659,5180,0.01036,1,0
33,2,3,26-3,direct,1,1,1,0.156792,0.922399,-0.765606,0.0791909,1.76738,1.85661,0.0318994,0.443935,13779,6734,0.013468,1,0
33,2,6,103-6,direct,1,1,1,0.28482,0.930886,-0.646066,0.215706,1.66014,1.7873,0.00102125,0.416599,54440,26986,0.053972,1,0
33,3,2,98-52-2,direct,1,1,0,0.179019,0.901124,-0.722105,0.0801438,1.72397,1.8012,0.0263828,0.530373,61134,30288,0.060576,1,0
33,3,3,109-85-3,direct,1,1,1,0.237885,0.919268,-0.681383,0.157153,1.68871,1.79588,0.0107706,0.509688,75495,37424,0.074848,1,0
33,2,96,118-96,direct,1,1,0,0.28896,0.936351,-0.647391,0.225311,1.66273,1.79856,0.00277544,0.182006,83660,41536,0.083072,1,0
33,3,1,72-3-1,direct,1,1,2,0.0494955,0.906349,-0.856854,-0.0441553,1.85738,1.8908,0.00826335,0.830588,37709,18651,0.037302,1,0
33,2,12,104-12,direct,1,1,1,0.259471,0.928638,-0.669167,0.188108,1.67973,1.7933,0.00329715,0.360159,56220,27872,0.055744,1,0
33,1,40,40,direct,1,1,1,0.259965,0.932695,-0.67273,0.19266,1.68379,1.80054,0.00322639,0.288722,20776,10240,0.02048,1,0
33,2,26,74-26,direct,1,1,2,0.273974,0.935546,-0.661572,0.20952,1.67473,1.80216,0.00356436,0.270046,42166,20868,0.041736,1,0
33,2,52,110-52,direct,1,1,1,0.271425,0.935819,-0.664394,0.207243,1.67725,1.80137,0.00217618,0.225789,68288,33880,0.06776,1,0
34,3,50,85-53-50,direct,1,1,1,0.25806,0.929783,-0.671723,0.187843,1.68224,1.79687,0.00399256,0.208693,58412,28915,0.05783,1,0
34,2,6,85-6,direct,1,1,0,0.255211,0.924559,-0.669348,0.17977,1.679,1.79836,0.0113915,0.45041,44972,22270,0.04454,1,0
34,2,6,23-6,direct,1,1,0,0.131466,0.907496,-0.77603,0.0389616,1.77646,1.8038,0.00446249,0.447785,12360,6026,0.012052,1,0
