Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
15	:	1776119286.812	   275.983	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_014_lr0.0001_bs8_hs16_ls8_mse_mb32_ep15_lp1.json
16	:	1776119286.904	   278.766	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_015_lr0.0001_bs8_hs16_ls8_mse_mb32_ep15_lp0.json
33	:	1776119563.099	    22.844	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_032_lr0.0001_bs8_hs16_ls8_mae_mb16_ep2_lp1.json
34	:	1776119565.956	    22.993	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_033_lr0.0001_bs8_hs16_ls8_mae_mb16_ep2_lp0.json
35	:	1776119585.971	    52.568	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_034_lr0.0001_bs8_hs16_ls8_mae_mb16_ep5_lp1.json
36	:	1776119588.957	    51.970	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_035_lr0.0001_bs8_hs16_ls8_mae_mb16_ep5_lp0.json
21	:	1776119341.924	   363.848	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_020_lr0.0001_bs8_hs16_ls8_mse_mb64_ep10_lp1.json
22	:	1776119342.313	   365.054	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_021_lr0.0001_bs8_hs16_ls8_mse_mb64_ep10_lp0.json
37	:	1776119638.650	   100.146	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_036_lr0.0001_bs8_hs16_ls8_mae_mb16_ep10_lp1.json
38	:	1776119641.003	   102.046	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_037_lr0.0001_bs8_hs16_ls8_mae_mb16_ep10_lp0.json
41	:	1776119738.873	    42.680	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_040_lr0.0001_bs8_hs16_ls8_mae_mb32_ep2_lp1.json
42	:	1776119743.122	    43.746	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_041_lr0.0001_bs8_hs16_ls8_mae_mb32_ep2_lp0.json
27	:	1776119454.279	   364.713	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_026_lr0.0001_bs8_hs16_ls8_mse_mb128_ep5_lp1.json
28	:	1776119455.600	   364.299	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_027_lr0.0001_bs8_hs16_ls8_mse_mb128_ep5_lp0.json
39	:	1776119706.108	   150.062	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_038_lr0.0001_bs8_hs16_ls8_mae_mb16_ep15_lp1.json
40	:	1776119707.704	   150.668	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_039_lr0.0001_bs8_hs16_ls8_mae_mb16_ep15_lp0.json
43	:	1776119781.661	   101.012	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_042_lr0.0001_bs8_hs16_ls8_mae_mb32_ep5_lp1.json
44	:	1776119786.884	   101.184	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_043_lr0.0001_bs8_hs16_ls8_mae_mb32_ep5_lp0.json
23	:	1776119372.829	   547.779	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_022_lr0.0001_bs8_hs16_ls8_mse_mb64_ep15_lp1.json
24	:	1776119372.959	   554.095	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_023_lr0.0001_bs8_hs16_ls8_mse_mb64_ep15_lp0.json
49	:	1776119882.759	    81.450	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_048_lr0.0001_bs8_hs16_ls8_mae_mb64_ep2_lp1.json
50	:	1776119888.159	    82.190	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_049_lr0.0001_bs8_hs16_ls8_mae_mb64_ep2_lp0.json
46	:	1776119820.218	   198.514	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_045_lr0.0001_bs8_hs16_ls8_mae_mb32_ep10_lp0.json
45	:	1776119819.355	   200.371	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_044_lr0.0001_bs8_hs16_ls8_mae_mb32_ep10_lp1.json
51	:	1776119921.609	   199.217	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_050_lr0.0001_bs8_hs16_ls8_mae_mb64_ep5_lp1.json
29	:	1776119523.735	   600.822	0	0	-1	15	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_028_lr0.0001_bs8_hs16_ls8_mse_mb128_ep10_lp1.json
52	:	1776119927.521	   197.644	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_051_lr0.0001_bs8_hs16_ls8_mae_mb64_ep5_lp0.json
30	:	1776119524.080	   601.261	0	0	-1	15	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_029_lr0.0001_bs8_hs16_ls8_mse_mb128_ep10_lp0.json
31	:	1776119537.437	   600.767	0	0	-1	15	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_030_lr0.0001_bs8_hs16_ls8_mse_mb128_ep15_lp1.json
32	:	1776119537.931	   600.757	0	0	-1	15	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_031_lr0.0001_bs8_hs16_ls8_mse_mb128_ep15_lp0.json
47	:	1776119856.345	   298.506	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_046_lr0.0001_bs8_hs16_ls8_mae_mb32_ep15_lp1.json
48	:	1776119858.513	   301.104	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_047_lr0.0001_bs8_hs16_ls8_mae_mb32_ep15_lp0.json
57	:	1776120120.982	   162.433	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_056_lr0.0001_bs8_hs16_ls8_mae_mb128_ep2_lp1.json
58	:	1776120125.166	   162.126	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_057_lr0.0001_bs8_hs16_ls8_mae_mb128_ep2_lp0.json
65	:	1776120283.528	    21.254	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_064_lr0.0001_bs8_hs16_ls16_mse_mb16_ep2_lp1.json
66	:	1776120287.378	    21.927	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_065_lr0.0001_bs8_hs16_ls16_mse_mb16_ep2_lp0.json
67	:	1776120304.795	    50.289	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_066_lr0.0001_bs8_hs16_ls16_mse_mb16_ep5_lp1.json
68	:	1776120309.314	    48.957	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_067_lr0.0001_bs8_hs16_ls16_mse_mb16_ep5_lp0.json
53	:	1776119964.295	   396.192	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_052_lr0.0001_bs8_hs16_ls8_mae_mb64_ep10_lp1.json
54	:	1776119970.408	   394.075	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_053_lr0.0001_bs8_hs16_ls8_mae_mb64_ep10_lp0.json
69	:	1776120355.145	    96.730	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_068_lr0.0001_bs8_hs16_ls16_mse_mb16_ep10_lp1.json
70	:	1776120358.325	    95.197	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_069_lr0.0001_bs8_hs16_ls16_mse_mb16_ep10_lp0.json
73	:	1776120451.986	    42.049	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_072_lr0.0001_bs8_hs16_ls16_mse_mb32_ep2_lp1.json
74	:	1776120453.603	    41.663	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_073_lr0.0001_bs8_hs16_ls16_mse_mb32_ep2_lp0.json
71	:	1776120360.779	   140.157	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_070_lr0.0001_bs8_hs16_ls16_mse_mb16_ep15_lp1.json
72	:	1776120364.823	   142.394	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_071_lr0.0001_bs8_hs16_ls16_mse_mb16_ep15_lp0.json
60	:	1776120125.917	   397.448	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_059_lr0.0001_bs8_hs16_ls8_mae_mb128_ep5_lp0.json
59	:	1776120125.304	   398.402	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_058_lr0.0001_bs8_hs16_ls8_mae_mb128_ep5_lp1.json
75	:	1776120494.047	    96.355	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_074_lr0.0001_bs8_hs16_ls16_mse_mb32_ep5_lp1.json
