file,id,severity,count,lines
src/demos/exec_resnet_demo/resnet_demo.cpp,throwInEntryPoint,error,1,88
src/demos/fftw3_demo/fftw3_demo.cpp,missingInclude,information,1,16
src/demos/voice_biometrics_cpp/main.cpp,constVariableReference,style,1,284
src/demos/voice_biometrics_cpp/main.cpp,normalCheckLevelMaxBranches,information,1,0
src/demos/voice_biometrics_cpp/main.cpp,throwInEntryPoint,error,1,541
src/demos/wavelet_demo/wavelet_demo.cpp,missingInclude,information,1,16
src/experiments/00/phase00.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/00/phase00_data.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/00/phase00_features.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/00/phase00_features.cpp,useStlAlgorithm,style,1,181
src/experiments/00/phase00_training.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/02/Experiment02Config.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/02/Experiment02Data.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/02/Experiment02Training.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/02/Experiment02Training.cpp,useStlAlgorithm,style,1,54
src/experiments/02/Experiment02Wavelets.cpp,useStlAlgorithm,style,1,82
src/experiments/03/experiment03.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/include/Experiment03Config.hpp,ctuOneDefinitionRuleViolation,error,1,23
src/experiments/03/lib/src/DatasetBuilder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/ProfileLoader.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/ResultsWriter.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/RunSummaryBuilder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/autoencoder/AudioWindowAutoencoder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/autoencoder/AudioWindowSpikingAutoencoder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/autoencoder/EegWindowAutoencoder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/autoencoder/EegWindowSpikingAutoencoder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/autoencoder/FusedWindowAutoencoder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/autoencoder/FusedWindowSpikingAutoencoder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/autoencoder/ProtocolAutoencoder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/autoencoder/ProtocolSpikingAutoencoder.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/cli.cpp,missingInclude,information,1,16
src/experiments/03/lib/src/cli.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/experiment03.cpp,clarifyCalculation,style,1,210
src/experiments/03/lib/src/experiment03.cpp,constVariablePointer,style,1,127
src/experiments/03/lib/src/experiment03.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/03/lib/src/experiment03_helpers.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/Config.cpp,normalCheckLevelMaxBranches,information,1,0
src/experiments/Config.hpp,ctuOneDefinitionRuleViolation,error,1,24
