Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
lstm-ae,direct,1,1.2248,0.865234,-0.018539,0,0,5.57328e+06,2603.52
snn-ae,direct,2,1.36198,0.911879,-0.132617,0.181818,0.511523,89718,6.03844
