Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
lstm-ae,direct,1,0.996841,0.705411,0.00315791,0,0,8.52384e+07,318625
lstm-ae,latency,1,0.241491,0.486262,0.0212772,0,0,8.52384e+07,566580
lstm-ae,poisson,1,0.118532,0.272806,-0.0407593,0,0,8.52384e+07,435531
snn-ae,direct,2,0.127553,0.178635,-0.087586,0,0.947478,375917,8911.63
snn-ae,latency,2,0.159398,0.285852,0.250685,0,0.833772,375043,18181.6
snn-ae,poisson,2,0.11563,0.160489,-0.083611,0,0.970052,376090,15787.3
