backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,0.500000,0.990000,3,44,1907081217213120053,0.842043,0.641087,-0.166521,0.000000,0.000000,0.000000,0.486979,372380.000000,1636.492676,1.742898,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.800000,3,44,1907081217213120053,0.754873,0.614498,-0.045760,0.000000,0.000000,0.000000,0.489583,372400.000000,2763.937744,1.846263,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.900000,3,44,1907081217213120053,0.814881,0.628622,-0.128893,0.000000,0.000000,0.000000,0.492969,372426.000000,1411.133667,1.840397,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.000000,0.990000,3,44,1907081217213120053,0.836891,0.643807,-0.159386,0.000000,0.000000,0.000000,0.483333,372352.000000,2637.062988,1.808689,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.800000,3,44,1907081217213120053,0.765930,0.622449,-0.061079,0.000000,0.000000,0.000000,0.487630,372385.000000,2882.359863,5.383462,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.900000,3,44,1907081217213120053,0.756711,0.609208,-0.048309,0.000000,0.000000,0.000000,0.483854,372356.000000,3140.447021,1.731374,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,direct,conv1d,2,1.500000,0.990000,3,44,1907081217213120053,0.870074,0.654703,-0.205356,0.000000,0.000000,0.000000,0.489583,372400.000000,1051.723511,2.062074,37286,36864
xtensor,article_snn_conv1d,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,1,42,1907081217213120053,0.118887,0.273788,-0.040013,0.000000,0.000000,0.000000,0.000000,85238400.000000,279981.187500,1216.690308,120225,8523840
xtensor,article_snn_conv1d,fsdd,snn-ae,poisson,conv1d,2,0.500000,0.800000,1,42,1907081217213120053,0.073482,0.145922,-0.182052,0.000000,0.000000,0.000000,0.967839,376073.000000,800.469177,1.980290,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,poisson,conv1d,2,0.500000,0.900000,1,42,1907081217213120053,0.070455,0.149676,-0.133355,0.000000,0.000000,0.000000,1.000000,376320.000000,1428.917847,3.374050,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,poisson,conv1d,2,0.500000,0.990000,1,42,1907081217213120053,0.072683,0.148387,-0.169211,0.000000,0.000000,0.000000,0.982422,376185.000000,894.817627,2.048106,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,poisson,conv1d,2,1.000000,0.800000,1,42,1907081217213120053,0.069828,0.151434,-0.123273,0.000000,0.000000,0.000000,0.996094,376290.000000,1327.160034,1.931122,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,poisson,conv1d,2,1.000000,0.900000,1,42,1907081217213120053,0.068688,0.154363,-0.104944,0.000000,0.000000,0.000000,1.000000,376320.000000,1578.703369,2.678288,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,poisson,conv1d,2,1.000000,0.990000,1,42,1907081217213120053,0.070284,0.149923,-0.130610,0.000000,0.000000,0.000000,1.000000,376320.000000,1448.150024,1.895362,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,poisson,conv1d,2,1.500000,0.800000,1,42,1907081217213120053,0.070195,0.156727,-0.129183,0.000000,0.000000,0.000000,0.979427,376162.000000,1399.402710,1.960875,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,poisson,conv1d,2,1.500000,0.900000,1,42,1907081217213120053,0.069620,0.151762,-0.119935,0.000000,0.000000,0.000000,1.000000,376320.000000,1227.448120,1.832156,37286,36864
xtensor,article_snn_conv1d,fsdd,snn-ae,poisson,conv1d,2,1.500000,0.990000,1,42,1907081217213120053,0.070007,0.150667,-0.126163,0.000000,0.000000,0.000000,1.000000,376320.000000,1157.399048,2.205040,37286,36864
xtensor,article_snn_conv1d,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,2,43,1907081217213120053,0.118437,0.272378,-0.038780,0.000000,0.000000,0.000000,0.000000,85238400.000000,281528.062500,1191.970459,120225,8523840
