Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
lstm-ae,direct,1,0.996841,0.705411,0.00315791,0,0,8.52384e+07,666860
lstm-ae,latency,1,0.241491,0.486262,0.0212772,0,0,8.52384e+07,385226
lstm-ae,poisson,1,0.118532,0.272806,-0.0407593,0,0,8.52384e+07,572979
snn-ae,direct,2,1.10564,0.770866,-0.105641,0,0.498847,372471,3985.89
snn-ae,latency,2,0.13641,0.267286,0.447154,0,0.876886,375374,3265.54
snn-ae,poisson,2,0.124377,0.170733,-0.0921058,0,0.970322,376092,6485.27
