Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
lstm-ae,direct,1,0.995452,0.704841,0.00454903,0,0,8.52384e+07,599136
lstm-ae,latency,1,0.245525,0.488018,0.00494373,0,0,8.52384e+07,298058
lstm-ae,poisson,1,0.113955,0.230645,-0.000545303,0,0,8.52384e+07,437661
snn-ae,direct,2,0.721913,0.626763,-0.000100421,0.666667,0.481727,372340,2818.33
snn-ae,latency,2,0.0841725,0.203391,0.614288,0.380247,0.884867,375436,2146.89
snn-ae,poisson,2,0.0646087,0.183593,-0.0453062,0.475309,0.990119,376244,2164.13
