dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,13669787910127586915,1.375436,0.988444,-0.047951,0.000000,0.000000,0.000000,0.000000,185680.000000,38.786938,1.746182,1017,18568
fsdd,snn-ae,direct,dense,0,1.000000,0.900000,1,42,13669787910127586915,1.464897,1.006263,-0.116111,0.166667,1.000000,0.285714,0.494792,10430.000000,1.215874,0.018718,1830,1024
