dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,42,14228218826035732500,1.450085,0.970153,-0.066239,0.000000,0.000000,0.000000,0.000000,2788000.000000,228.639114,8.007059,3561,278800
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,1,42,14228218826035732500,1.538789,0.996248,-0.131461,0.200000,1.000000,0.333333,0.530469,82599.000000,4.189767,0.043303,8750,8192
