Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
lstm-ae,direct,1,1.45009,0.970153,-0.0662386,0,0,2.788e+06,228.639
snn-ae,direct,1,1.53879,0.996248,-0.131461,0.333333,0.530469,82599,4.18977
