dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,1,1337,1923285362780260608,1.245988,0.873162,-0.021996,0.000000,0.000000,0.000000,0.000000,21320320.000000,31025.220703,538.179077,52113,2132032
fsdd,snn-ae,direct,dense,1,1.000000,0.900000,1,1337,1923285362780260608,0.618348,0.586112,0.492815,0.109375,1.000000,0.197183,0.477051,167748.000000,272.390137,0.810863,18710,16384
