Model,Codificacao,Camadas,MSE,MAE,R2,F1,SpikeRate,Energia,TempoTreinoMs
lstm-ae,direct,1,1.37544,0.988444,-0.0479515,0,0,185680,38.7869
snn-ae,direct,0,1.4649,1.00626,-0.116111,0.285714,0.494792,10430,1.21587
