backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,0.500000,0.990000,3,44,3101891589530776636,0.093619,0.204862,0.174026,0.500000,0.500000,0.500000,0.911589,375641.000000,9434.805664,89.492157,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.800000,3,44,3101891589530776636,0.132630,0.261312,-0.037916,0.500000,1.000000,0.666667,0.849609,375165.000000,10029.051758,88.832504,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.900000,3,44,3101891589530776636,0.129638,0.265573,-0.042325,0.500000,1.000000,0.666667,0.845443,375133.000000,15021.587891,85.227760,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.000000,0.990000,3,44,3101891589530776636,0.058840,0.131714,0.185493,0.000000,0.000000,0.000000,0.903776,375581.000000,8541.138672,87.761337,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.800000,3,44,3101891589530776636,0.090007,0.170302,0.001063,0.000000,0.000000,0.000000,1.000000,376320.000000,3937.824707,89.946335,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.900000,3,44,3101891589530776636,0.096416,0.210798,-0.072582,0.500000,0.500000,0.500000,0.760938,374484.000000,14843.268555,92.249931,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,direct,recurrent,2,1.500000,0.990000,3,44,3101891589530776636,0.042686,0.104068,0.168726,0.000000,0.000000,0.000000,0.907812,375612.000000,14810.165039,93.288963,37286,36864
xtensor,article_snn_recurrent,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,1,42,3101891589530776636,0.114878,0.245735,-0.004880,0.000000,0.000000,0.000000,0.000000,85238400.000000,449518.843750,1426.974731,120225,8523840
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.800000,1,42,3101891589530776636,0.153357,0.271619,-0.118951,0.333333,0.500000,0.400000,0.917969,375690.000000,11371.928711,85.168045,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.900000,1,42,3101891589530776636,0.168042,0.313037,-0.068601,0.333333,0.500000,0.400000,0.924740,375742.000000,9866.174805,85.885246,37286,36864
