backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,3,44,9318088442253209148,0.928382,0.723460,0.071616,0.500000,1.000000,0.666667,0.482943,372349.000000,2927.477539,2.983500,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,3,44,9318088442253209148,0.949471,0.738052,0.050529,0.500000,1.000000,0.666667,0.497135,372458.000000,2501.374512,3.167533,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,3,44,9318088442253209148,1.085895,0.786172,-0.085894,0.500000,1.000000,0.666667,0.476042,372296.000000,2839.591797,1.913245,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.800000,3,44,9318088442253209148,0.913544,0.716510,0.086455,0.500000,1.000000,0.666667,0.462500,372192.000000,3286.405029,2.229488,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.900000,3,44,9318088442253209148,0.931350,0.730571,0.068650,0.500000,1.000000,0.666667,0.476042,372296.000000,1855.341919,1.983506,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,direct,dense,2,1.500000,0.990000,3,44,9318088442253209148,1.117223,0.797785,-0.117225,0.500000,1.000000,0.666667,0.468490,372238.000000,1843.015991,1.979316,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,1,42,9318088442253209148,0.114878,0.245735,-0.004880,0.000000,0.000000,0.000000,0.000000,85238400.000000,430308.250000,1488.507446,120225,8523840
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.800000,1,42,9318088442253209148,0.116587,0.209624,-0.019889,1.000000,0.500000,0.666667,0.988672,376233.000000,2309.602783,2.059074,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.900000,1,42,9318088442253209148,0.115370,0.214254,-0.009240,1.000000,0.500000,0.666667,0.997526,376301.000000,2339.120361,2.016052,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.990000,1,42,9318088442253209148,0.131950,0.258126,-0.154280,1.000000,0.500000,0.666667,0.998958,376312.000000,2800.174316,2.019963,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.800000,1,42,9318088442253209148,0.123594,0.236555,-0.081182,0.500000,0.500000,0.500000,0.845443,375133.000000,3463.880371,2.015843,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.900000,1,42,9318088442253209148,0.117261,0.214501,-0.025785,1.000000,0.500000,0.666667,0.987630,376225.000000,1388.367065,2.008440,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.990000,1,42,9318088442253209148,0.114796,0.216566,-0.004218,1.000000,0.500000,0.666667,0.999219,376314.000000,2180.783447,2.122701,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.800000,1,42,9318088442253209148,0.123484,0.210544,-0.080222,0.500000,0.500000,0.500000,0.946094,375906.000000,690.532532,5.154881,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.900000,1,42,9318088442253209148,0.117001,0.197146,-0.023511,1.000000,0.500000,0.666667,1.000000,376320.000000,1379.111328,2.035607,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.990000,1,42,9318088442253209148,0.123672,0.227819,-0.081862,1.000000,0.500000,0.666667,0.999349,376315.000000,2336.095459,2.206790,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,2,43,9318088442253209148,0.113635,0.215894,0.003319,0.000000,0.000000,0.000000,0.000000,85238400.000000,348534.656250,1499.157959,120225,8523840
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.800000,2,43,9318088442253209148,0.122494,0.223861,-0.074371,1.000000,0.500000,0.666667,0.962891,376035.000000,2271.570068,4.097616,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.900000,2,43,9318088442253209148,0.121954,0.230384,-0.069639,1.000000,0.500000,0.666667,0.989974,376243.000000,2691.794189,2.104332,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.990000,2,43,9318088442253209148,0.128100,0.256407,-0.123549,1.000000,0.500000,0.666667,0.998828,376311.000000,2475.460205,2.036796,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.800000,2,43,9318088442253209148,0.129160,0.228614,-0.132849,0.500000,0.500000,0.500000,0.838802,375082.000000,3377.405762,2.151545,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.900000,2,43,9318088442253209148,0.120214,0.204235,-0.054385,1.000000,0.500000,0.666667,0.961719,376026.000000,754.370850,1.958432,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.990000,2,43,9318088442253209148,0.128865,0.277535,-0.130255,0.333333,0.500000,0.400000,0.998958,376312.000000,3183.543945,2.045735,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.800000,2,43,9318088442253209148,0.120693,0.214452,-0.058583,1.000000,0.500000,0.666667,0.890495,375479.000000,2431.063965,2.109570,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.900000,2,43,9318088442253209148,0.117033,0.199663,-0.026479,1.000000,0.500000,0.666667,0.986589,376217.000000,880.471252,2.169355,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.990000,2,43,9318088442253209148,0.123359,0.233541,-0.081962,1.000000,0.500000,0.666667,0.995182,376283.000000,2376.370117,4.493409,37286,36864
