feature_set,classifier,text_mode,fold,accuracy,f1,precision,recall,specificity,eer,auc,train_ms,infer_ms,model_path
handcrafted-lfcc,dsnn,dependent,0,nan,nan,nan,nan,nan,0.514286,0.536837,5031.475,5.685,results/thesis/phase01/models/e05_p01_dsnn_voice_dep_flat_std_rep2/handcrafted-lfcc/fold_0.bin
handcrafted-lfcc,dsnn,dependent,1,nan,nan,nan,nan,nan,0.712500,0.777734,4570.861,6.678,results/thesis/phase01/models/e05_p01_dsnn_voice_dep_flat_std_rep2/handcrafted-lfcc/fold_1.bin
handcrafted-lfcc,dsnn,dependent,2,nan,nan,nan,nan,nan,0.569444,0.629823,4483.855,5.201,results/thesis/phase01/models/e05_p01_dsnn_voice_dep_flat_std_rep2/handcrafted-lfcc/fold_2.bin
handcrafted-lfcc,dsnn,dependent,3,nan,nan,nan,nan,nan,0.523810,0.549674,4551.628,5.881,results/thesis/phase01/models/e05_p01_dsnn_voice_dep_flat_std_rep2/handcrafted-lfcc/fold_3.bin
handcrafted-lfcc,dsnn,dependent,4,nan,nan,nan,nan,nan,0.675676,0.751735,4514.099,4.765,results/thesis/phase01/models/e05_p01_dsnn_voice_dep_flat_std_rep2/handcrafted-lfcc/fold_4.bin
