Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
26	:	1776055897.425	   270.943	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_066_lr0.0001_bs64_hs128_ls16_mse.json
28	:	1776055908.465	   271.667	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_068_lr0.0001_bs64_hs128_ls32_mse.json
33	:	1776056013.832	   168.898	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_073_lr0.0003_bs8_hs32_ls16_mae.json
34	:	1776056061.058	   155.444	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_074_lr0.0003_bs8_hs32_ls32_mse.json
25	:	1776055896.868	   320.362	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_065_lr0.0001_bs64_hs64_ls64_mae.json
30	:	1776055950.659	   274.854	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_070_lr0.0001_bs64_hs128_ls64_mse.json
27	:	1776055907.676	   321.798	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_067_lr0.0001_bs64_hs128_ls16_mae.json
35	:	1776056061.689	   172.000	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_075_lr0.0003_bs8_hs32_ls32_mae.json
29	:	1776055937.183	   318.745	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_069_lr0.0001_bs64_hs128_ls32_mae.json
36	:	1776056110.302	   159.096	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_076_lr0.0003_bs8_hs32_ls64_mse.json
31	:	1776055954.336	   326.480	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_071_lr0.0001_bs64_hs128_ls64_mae.json
37	:	1776056114.536	   174.744	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_077_lr0.0003_bs8_hs32_ls64_mae.json
38	:	1776056168.383	   158.739	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_078_lr0.0003_bs8_hs64_ls16_mse.json
40	:	1776056182.745	   160.992	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_080_lr0.0003_bs8_hs64_ls32_mse.json
39	:	1776056180.143	   171.214	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_079_lr0.0003_bs8_hs64_ls16_mae.json
42	:	1776056217.237	   160.459	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_082_lr0.0003_bs8_hs64_ls64_mse.json
41	:	1776056216.511	   172.778	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_081_lr0.0003_bs8_hs64_ls32_mae.json
44	:	1776056229.493	   161.368	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_084_lr0.0003_bs8_hs128_ls16_mse.json
43	:	1776056225.530	   175.591	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_083_lr0.0003_bs8_hs64_ls64_mae.json
45	:	1776056233.697	   176.250	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_085_lr0.0003_bs8_hs128_ls16_mae.json
46	:	1776056255.938	   161.901	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_086_lr0.0003_bs8_hs128_ls32_mse.json
47	:	1776056269.415	   169.750	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_087_lr0.0003_bs8_hs128_ls32_mae.json
48	:	1776056280.828	   164.392	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_088_lr0.0003_bs8_hs128_ls64_mse.json
49	:	1776056289.294	   173.292	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_089_lr0.0003_bs8_hs128_ls64_mae.json
50	:	1776056327.144	   196.096	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_090_lr0.0003_bs16_hs32_ls16_mse.json
52	:	1776056351.365	   194.638	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_092_lr0.0003_bs16_hs32_ls32_mse.json
51	:	1776056343.750	   223.023	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_091_lr0.0003_bs16_hs32_ls16_mae.json
54	:	1776056389.305	   193.665	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_094_lr0.0003_bs16_hs32_ls64_mse.json
56	:	1776056401.129	   197.957	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_096_lr0.0003_bs16_hs64_ls16_mse.json
53	:	1776056377.710	   223.161	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_093_lr0.0003_bs16_hs32_ls32_mae.json
55	:	1776056390.878	   219.859	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_095_lr0.0003_bs16_hs32_ls64_mae.json
58	:	1776056417.851	   194.654	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_098_lr0.0003_bs16_hs64_ls32_mse.json
57	:	1776056409.966	   220.980	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_097_lr0.0003_bs16_hs64_ls16_mae.json
