Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1776048261.970	   120.035	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_001_lr0.0001_bs8_hs32_ls16_mae.json
3	:	1776048261.974	   120.042	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_002_lr0.0001_bs8_hs32_ls32_mse.json
1	:	1776048261.966	   120.055	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_000_lr0.0001_bs8_hs32_ls16_mse.json
4	:	1776048261.977	   120.051	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_003_lr0.0001_bs8_hs32_ls32_mae.json
5	:	1776048261.981	   120.052	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_004_lr0.0001_bs8_hs32_ls64_mse.json
6	:	1776048261.985	   120.050	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_005_lr0.0001_bs8_hs32_ls64_mae.json
8	:	1776048261.992	   120.048	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_007_lr0.0001_bs8_hs64_ls16_mae.json
7	:	1776048261.988	   120.055	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_006_lr0.0001_bs8_hs64_ls16_mse.json
9	:	1776048261.996	   120.046	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_008_lr0.0001_bs8_hs64_ls32_mse.json
11	:	1776048262.004	   120.045	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_010_lr0.0001_bs8_hs64_ls64_mse.json
10	:	1776048262.000	   120.049	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_009_lr0.0001_bs8_hs64_ls32_mae.json
12	:	1776048262.007	   120.042	0	0	124	0	timeout 120 ./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_011_lr0.0001_bs8_hs64_ls64_mae.json
