Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1776048653.004	   159.949	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_000_lr0.0001_bs8_hs32_ls16_mse.json
11	:	1776048653.044	   161.196	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_010_lr0.0001_bs8_hs64_ls64_mse.json
7	:	1776048653.028	   161.675	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_006_lr0.0001_bs8_hs64_ls16_mse.json
9	:	1776048653.036	   162.329	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_008_lr0.0001_bs8_hs64_ls32_mse.json
5	:	1776048653.019	   163.478	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_004_lr0.0001_bs8_hs32_ls64_mse.json
3	:	1776048653.010	   164.223	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_002_lr0.0001_bs8_hs32_ls32_mse.json
6	:	1776048653.023	   173.490	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_005_lr0.0001_bs8_hs32_ls64_mae.json
8	:	1776048653.032	   174.726	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_007_lr0.0001_bs8_hs64_ls16_mae.json
10	:	1776048653.040	   175.118	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_009_lr0.0001_bs8_hs64_ls32_mae.json
4	:	1776048653.014	   175.676	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_003_lr0.0001_bs8_hs32_ls32_mae.json
