Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
9	:	1776049575.071	   162.413	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_008_lr0.0001_bs8_hs64_ls32_mse.json
3	:	1776049575.048	   164.730	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_002_lr0.0001_bs8_hs32_ls32_mse.json
11	:	1776049575.078	   165.040	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_010_lr0.0001_bs8_hs64_ls64_mse.json
5	:	1776049575.055	   165.813	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_004_lr0.0001_bs8_hs32_ls64_mse.json
7	:	1776049575.063	   166.934	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_006_lr0.0001_bs8_hs64_ls16_mse.json
1	:	1776049575.041	   168.988	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_000_lr0.0001_bs8_hs32_ls16_mse.json
2	:	1776049575.045	   176.786	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_001_lr0.0001_bs8_hs32_ls16_mae.json
10	:	1776049575.074	   177.830	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_009_lr0.0001_bs8_hs64_ls32_mae.json
4	:	1776049575.051	   178.245	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_003_lr0.0001_bs8_hs32_ls32_mae.json
8	:	1776049575.066	   179.115	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_007_lr0.0001_bs8_hs64_ls16_mae.json
6	:	1776049575.059	   181.638	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_005_lr0.0001_bs8_hs32_ls64_mae.json
12	:	1776049575.083	   182.035	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_011_lr0.0001_bs8_hs64_ls64_mae.json
