Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
7	:	1776107696.395	   147.148	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_006_lr0.0001_bs8_hs64_ls16_mse.json
1	:	1776107696.377	   147.482	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_000_lr0.0001_bs8_hs32_ls16_mse.json
9	:	1776107696.402	   147.830	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_008_lr0.0001_bs8_hs64_ls32_mse.json
5	:	1776107696.389	   148.151	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_004_lr0.0001_bs8_hs32_ls64_mse.json
3	:	1776107696.384	   148.883	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_002_lr0.0001_bs8_hs32_ls32_mse.json
11	:	1776107696.409	   149.104	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_010_lr0.0001_bs8_hs64_ls64_mse.json
12	:	1776107696.413	   157.590	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_011_lr0.0001_bs8_hs64_ls64_mae.json
4	:	1776107696.386	   158.067	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_003_lr0.0001_bs8_hs32_ls32_mae.json
2	:	1776107696.381	   158.842	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_001_lr0.0001_bs8_hs32_ls16_mae.json
10	:	1776107696.405	   159.272	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/snnAutoEncodersProfiles/audio-window-snn_grid_009_lr0.0001_bs8_hs64_ls32_mae.json
